ÁREA,CARRERA,CIUDAD,AÑO,TIPO DE EDUCACIÓN,MATRICULADOS HOMBRES,MATRICULADOS MUJERES,NUEVOS HOMBRES,NUEVOS MUJERES,TITULADOS HOMBRES,TITULADOS MUJERES
CIENCIAS DE LA SALUD,MEDICINA,BENI,2007,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,ODONTOLOGIA,BENI,2007,PRIVADA,0,0,0,0,0,0
CIENCIAS SOCIALES,ARQUEOLOGIA,LA PAZ,2011,PRIVADA,0,0,0,0,0,0
OTROS OFICIOS,ORDEN Y SEGURIDAD,LA PAZ,2011,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,MEDICINA,TARIJA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,ODONTOLOGIA,BENI,2002,PRIVADA,0,0,0,0,0,0
"ARQUITECTURA, URBANISMO Y ARTE",ARQUITECTURA Y URBANISMO,BENI,2001,PRIVADA,64,31,46,20,2,1
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA AGRONOMICA,BENI,2001,PUBLICA,205,83,96,12,15,1
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA AGROPECUARIA,BENI,2001,PUBLICA,105,35,82,44,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA FORESTAL,BENI,2001,PUBLICA,242,97,82,46,3,2
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,MEDICINA VETERINARIA Y ZOOTECNIA,BENI,2001,PUBLICA,357,82,136,24,40,9
CIENCIAS DE LA COMUNICACION,CIENCIAS DE LA COMUNICACION,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA COMUNICACION,CIENCIAS DE LA COMUNICACION SOCIAL,BENI,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA COMUNICACION,RELACIONES PUBLICAS,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,CIENCIAS DE LA EDUCACION,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,CIENCIAS DE LA EDUCACION,BENI,2001,PUBLICA,104,257,86,118,2,14
CIENCIAS DE LA EDUCACION Y HUMANIDADES,EDUCACION INTERCULTURAL,BENI,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,GESTION DE TURISMO,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,PEDAGOGIA,BENI,2001,PUBLICA,214,458,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,PEDAGOGIA (CURSO COMPLEMENTARIO PARA DOCENTES EN SERVICIO),BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,TURISMO,BENI,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,BIOQUIMICA Y FARMACIA,BENI,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,ENFERMERIA,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,ENFERMERIA,BENI,2001,PUBLICA,44,416,20,176,6,15
CIENCIAS DE LA SALUD,MEDICINA,BENI,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,ODONTOLOGIA,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ADMINISTRACION DE EMPRESAS,BENI,2001,PRIVADA,4,3,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ADMINISTRACION DE EMPRESAS,BENI,2001,PUBLICA,301,223,112,86,31,13
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,AUDITORIA,BENI,2001,PRIVADA,46,47,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,COMERCIO INTERNACIONAL,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,CONTADURIA PUBLICA,BENI,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,CONTADURIA PUBLICA,BENI,2001,PUBLICA,403,404,158,184,5,3
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ECONOMIA,BENI,2001,PUBLICA,331,217,102,74,3,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,INGENIERIA COMERCIAL,BENI,2001,PRIVADA,70,28,40,26,0,0
CIENCIAS SOCIALES,DERECHO,BENI,2001,PRIVADA,132,101,24,16,6,2
CIENCIAS SOCIALES,DERECHO,BENI,2001,PUBLICA,311,217,230,194,0,0
CIENCIAS SOCIALES,RELACIONES INTERNACIONALES,BENI,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA CIVIL,BENI,2001,PUBLICA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA DE SISTEMAS,BENI,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA DE SISTEMAS,BENI,2001,PUBLICA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA DE SISTEMAS INFORMATICOS,BENI,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA DE SISTEMAS INFORMATICOS,BENI,2001,PRIVADA,0,0,0,0,0,0
"ARQUITECTURA, URBANISMO Y ARTE",ARQUITECTURA,CHUQUISACA,2001,PRIVADA,152,35,36,12,4,2
"ARQUITECTURA, URBANISMO Y ARTE",ARQUITECTURA,CHUQUISACA,2001,PUBLICA,483,231,80,40,7,4
"ARQUITECTURA, URBANISMO Y ARTE",ARTE Y DISEÑO GRAFICO,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,ADMINISTRACION AGROPECUARIA,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,AGRONOMIA,CHUQUISACA,2001,PRIVADA,3,0,0,0,3,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA AGROFORESTAL,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA AGROINDUSTRIAL,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA AGRONOMICA,CHUQUISACA,2001,PUBLICA,279,39,29,4,71,9
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA DEL DESARROLLO RURAL,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA ZOOTECNICA,CHUQUISACA,2001,PUBLICA,117,31,37,15,31,7
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,VETERINARIA,CHUQUISACA,2001,PRIVADA,40,0,13,0,1,0
CIENCIAS DE LA COMUNICACION,CIENCIAS DE LA COMUNICACION SOCIAL,CHUQUISACA,2001,PUBLICA,247,245,110,97,16,29
CIENCIAS DE LA EDUCACION Y HUMANIDADES,ADMINISTRACION DE HOTELERIA Y TURISMO,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,ESTUDIOS INTERCULTURALES,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,HISTORIA,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,IDIOMAS,CHUQUISACA,2001,PUBLICA,49,296,25,74,1,22
CIENCIAS DE LA EDUCACION Y HUMANIDADES,PEDAGOGIA,CHUQUISACA,2001,PUBLICA,108,299,28,91,4,23
CIENCIAS DE LA EDUCACION Y HUMANIDADES,PSICOLOGIA,CHUQUISACA,2001,PRIVADA,48,71,6,12,1,1
CIENCIAS DE LA EDUCACION Y HUMANIDADES,PSICOLOGIA,CHUQUISACA,2001,PUBLICA,75,203,46,100,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,TEOLOGIA,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,TURISMO,CHUQUISACA,2001,PUBLICA,48,153,13,41,5,31
CIENCIAS DE LA SALUD,BIOIMAGENOLOGIA,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,BIOQUIMICA,CHUQUISACA,2001,PUBLICA,142,1231,46,186,8,181
CIENCIAS DE LA SALUD,ENFERMERIA,CHUQUISACA,2001,PUBLICA,1,505,1,46,0,130
CIENCIAS DE LA SALUD,FISIOTERAPIA Y KINESIOLOGIA,CHUQUISACA,2001,PUBLICA,148,187,44,25,36,57
CIENCIAS DE LA SALUD,LABORATORIO CLINICO,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,MEDICINA,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,MEDICINA,CHUQUISACA,2001,PUBLICA,2118,1611,146,106,291,151
CIENCIAS DE LA SALUD,NUTRICION Y DIETETICA,CHUQUISACA,2001,PUBLICA,47,25,38,19,0,0
CIENCIAS DE LA SALUD,ODONTOLOGIA,CHUQUISACA,2001,PUBLICA,1025,1035,97,107,114,116
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ADMINISTRACION DE EMPRESAS,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ADMINISTRACION DE EMPRESAS,CHUQUISACA,2001,PUBLICA,560,452,110,76,30,22
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ADMINISTRACION FINANCIERA,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ADMINISTRACION FINANCIERA,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,COMERCIO INTERNACIONAL,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,CONTADURIA PUBLICA,CHUQUISACA,2001,PUBLICA,671,996,104,179,63,101
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,CONTADURIA Y AUDITORIA DE SISTEMAS,CHUQUISACA,2001,PRIVADA,74,75,21,10,11,5
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ECONOMIA,CHUQUISACA,2001,PUBLICA,239,148,47,28,26,15
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,GESTION PUBLICA,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,INGENIERIA COMERCIAL,CHUQUISACA,2001,PRIVADA,169,80,48,31,10,6
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,INGENIERIA COMERCIAL,CHUQUISACA,2001,PUBLICA,187,212,116,131,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,MARKETING Y PUBLICIDAD,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS SOCIALES,DERECHO,CHUQUISACA,2001,PRIVADA,62,33,25,7,2,2
CIENCIAS SOCIALES,DERECHO,CHUQUISACA,2001,PUBLICA,1664,1552,250,219,110,91
CIENCIAS SOCIALES,SOCIOLOGIA,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS SOCIALES,TRABAJO SOCIAL,CHUQUISACA,2001,PRIVADA,3,69,2,23,0,2
CIENCIAS SOCIALES,TRABAJO SOCIAL,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,ADMINISTRACION DE SISTEMAS DE INFORMACION,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INFORMATICA,CHUQUISACA,2001,PRIVADA,0,0,0,0,1,2
INGENIERIA Y TECNOLOGIA,INGENIERIA AMBIENTAL,CHUQUISACA,2001,PUBLICA,71,30,43,21,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA CIVIL,CHUQUISACA,2001,PRIVADA,92,21,20,12,3,0
INGENIERIA Y TECNOLOGIA,INGENIERIA CIVIL,CHUQUISACA,2001,PUBLICA,678,90,94,19,21,0
INGENIERIA Y TECNOLOGIA,INGENIERIA DE ALIMENTOS,CHUQUISACA,2001,PUBLICA,59,60,36,29,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA DE HARDWARE,CHUQUISACA,2001,PRIVADA,129,42,60,17,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA DE PETROLEO Y GAS NATURAL,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA DE SISTEMAS,CHUQUISACA,2001,PUBLICA,613,354,118,61,17,10
INGENIERIA Y TECNOLOGIA,INGENIERIA DE SISTEMAS INFORMATICOS,CHUQUISACA,2001,PRIVADA,36,7,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA DE SISTEMAS INFORMATICOS,CHUQUISACA,2001,PRIVADA,0,0,4,2,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA DE TELECOMUNICACIONES,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA ELECTRICA,CHUQUISACA,2001,PUBLICA,93,9,71,7,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA ELECTROMECANICA,CHUQUISACA,2001,PUBLICA,104,6,77,4,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA ELECTRONICA,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA EN DISEÑO Y ANIMACION DIGITAL,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA EN GESTION AMBIENTAL,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA EN GESTION PETROLERA,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA EN RECURSOS NATURALES,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA EN REDES Y TELECOMUNICACIONES,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA GEOLOGICA,CHUQUISACA,2001,PUBLICA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA INDUSTRIAL,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA INDUSTRIAL,CHUQUISACA,2001,PUBLICA,182,75,67,26,0,1
INGENIERIA Y TECNOLOGIA,INGENIERIA INDUSTRIAL Y DE SISTEMAS,CHUQUISACA,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA MECANICA,CHUQUISACA,2001,PUBLICA,259,9,90,5,10,0
INGENIERIA Y TECNOLOGIA,INGENIERIA QUIMICA,CHUQUISACA,2001,PUBLICA,135,57,48,21,13,5
"ARQUITECTURA, URBANISMO Y ARTE",ARQUITECTURA,COCHABAMBA,2001,PRIVADA,137,93,88,64,7,4
"ARQUITECTURA, URBANISMO Y ARTE",ARQUITECTURA Y CIENCIAS DEL HABITAT,COCHABAMBA,2001,PUBLICA,2004,939,530,340,79,40
"ARQUITECTURA, URBANISMO Y ARTE",ARTES ESCENICAS TELEVISION Y VIDEO,COCHABAMBA,2001,PRIVADA,9,4,0,0,0,0
"ARQUITECTURA, URBANISMO Y ARTE",DISEÑO DE INTERIORES Y PAISAJISMO,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
"ARQUITECTURA, URBANISMO Y ARTE",DISEÑO GRAFICO,COCHABAMBA,2001,PRIVADA,58,119,16,42,1,7
"ARQUITECTURA, URBANISMO Y ARTE",DISEÑO INDUSTRIAL ARTISTICO Y ARTESANAL,COCHABAMBA,2001,PRIVADA,1,0,0,0,1,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,CIENCIAS AMBIENTALES,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,FORESTAL,COCHABAMBA,2001,PUBLICA,63,19,80,22,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA AGROINDUSTRIAL,COCHABAMBA,2001,PRIVADA,6,1,0,0,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA AGRONOMICA,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA AGRONOMICA,COCHABAMBA,2001,PUBLICA,55,13,328,104,73,24
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA DEL DESARROLLO RURAL,COCHABAMBA,2001,PRIVADA,33,2,16,2,1,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,INGENIERIA FORESTAL,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,MEDICINA VETERINARIA Y ZOOTECNIA,COCHABAMBA,2001,PRIVADA,38,17,4,0,1,0
CIENCIAS AGRICOLAS PECUARIAS Y FORESTALES,MEDICINA VETERINARIA Y ZOOTECNIA,COCHABAMBA,2001,PUBLICA,344,263,170,104,11,5
CIENCIAS BASICAS Y NATURALES,BIOLOGIA,COCHABAMBA,2001,PUBLICA,105,233,44,64,8,11
CIENCIAS BASICAS Y NATURALES,FISICA,COCHABAMBA,2001,PUBLICA,33,9,36,16,0,0
CIENCIAS BASICAS Y NATURALES,MATEMATICAS,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS BASICAS Y NATURALES,MATEMATICAS,COCHABAMBA,2001,PUBLICA,60,65,30,30,1,0
CIENCIAS BASICAS Y NATURALES,QUIMICA,COCHABAMBA,2001,PUBLICA,15,42,2,6,1,3
CIENCIAS DE LA COMUNICACION,COMUNICACION SOCIAL,COCHABAMBA,2001,PRIVADA,149,231,124,192,11,27
CIENCIAS DE LA COMUNICACION,COMUNICACION SOCIAL,COCHABAMBA,2001,PUBLICA,287,433,174,230,0,0
CIENCIAS DE LA COMUNICACION,RELACIONES PUBLICAS,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,ADMINISTRACION DE HOTELERIA Y TURISMO,COCHABAMBA,2001,PRIVADA,25,100,4,48,2,11
CIENCIAS DE LA EDUCACION Y HUMANIDADES,CIENCIAS DE LA EDUCACION,COCHABAMBA,2001,PRIVADA,202,498,64,110,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,CIENCIAS DE LA EDUCACION,COCHABAMBA,2001,PUBLICA,516,1199,190,426,16,41
CIENCIAS DE LA EDUCACION Y HUMANIDADES,CIENCIAS DE LA EDUCACION (PROGRAMA COMPLEMENTARIO PARA MAESTROS NORMALISTAS),COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,EDUCACION FISICA Y DEPORTES (PROGRAMA COMPLEMENTARIO PARA MAESTROS NORMALISTAS DE EDUCACION FISICA),COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,EDUCACION PRIMARIA,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,EDUCACION SECUNDARIA MENCION FILOSOFIA Y LETRAS,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,FILOSOFIA,COCHABAMBA,2001,PRIVADA,72,6,78,24,16,3
CIENCIAS DE LA EDUCACION Y HUMANIDADES,GASTRONOMIA,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,LINGÜISTICA APLICADA A LA ENSEÑANZA DE LAS LENGUAS,COCHABAMBA,2001,PUBLICA,181,691,98,334,3,23
CIENCIAS DE LA EDUCACION Y HUMANIDADES,PEDAGOGIA SOCIAL PRODUCTIVA,COCHABAMBA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA EDUCACION Y HUMANIDADES,PSICOLOGIA,COCHABAMBA,2001,PRIVADA,14,27,8,44,1,1
CIENCIAS DE LA EDUCACION Y HUMANIDADES,PSICOLOGIA,COCHABAMBA,2001,PUBLICA,463,1234,136,364,14,80
CIENCIAS DE LA EDUCACION Y HUMANIDADES,PSICOPEDAGOGIA,COCHABAMBA,2001,PRIVADA,0,0,0,0,2,12
CIENCIAS DE LA EDUCACION Y HUMANIDADES,TEOLOGIA,COCHABAMBA,2001,PRIVADA,329,34,234,36,21,3
CIENCIAS DE LA SALUD,BIOQUIMICA Y FARMACIA,COCHABAMBA,2001,PRIVADA,106,82,0,20,5,34
CIENCIAS DE LA SALUD,BIOQUIMICA Y FARMACIA,COCHABAMBA,2001,PUBLICA,123,952,66,380,7,106
CIENCIAS DE LA SALUD,ENFERMERIA,COCHABAMBA,2001,PRIVADA,10,341,6,230,0,18
CIENCIAS DE LA SALUD,ENFERMERIA,COCHABAMBA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,FISIOTERAPIA Y KINESIOLOGIA,COCHABAMBA,2001,PRIVADA,199,433,58,198,4,28
CIENCIAS DE LA SALUD,MEDICINA,COCHABAMBA,2001,PRIVADA,934,792,398,400,17,20
CIENCIAS DE LA SALUD,MEDICINA,COCHABAMBA,2001,PUBLICA,1092,829,24,32,112,93
CIENCIAS DE LA SALUD,NUTRICION,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS DE LA SALUD,ODONTOLOGIA,COCHABAMBA,2001,PRIVADA,301,450,56,130,28,39
CIENCIAS DE LA SALUD,ODONTOLOGIA,COCHABAMBA,2001,PUBLICA,828,1854,180,236,67,183
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ADMINISTRACION DE EMPRESAS,COCHABAMBA,2001,PRIVADA,409,348,158,144,49,50
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ADMINISTRACION DE EMPRESAS,COCHABAMBA,2001,PUBLICA,2229,1618,700,604,63,67
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ADMINISTRADOR PUBLICO,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,AUDITORIA FINANCIERA,COCHABAMBA,2001,PRIVADA,140,119,62,68,8,13
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,COMERCIO INTERNACIONAL,COCHABAMBA,2001,PRIVADA,10,6,4,22,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,CONTADURIA PUBLICA,COCHABAMBA,2001,PRIVADA,45,52,36,66,49,18
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,CONTADURIA PUBLICA,COCHABAMBA,2001,PUBLICA,0,0,758,974,129,222
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ECONOMIA,COCHABAMBA,2001,PRIVADA,148,44,18,8,16,7
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,ECONOMIA,COCHABAMBA,2001,PUBLICA,767,489,280,198,34,39
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,GESTION DEL TERRITORIO,COCHABAMBA,2001,PRIVADA,1,0,4,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,INGENIERIA COMERCIAL,COCHABAMBA,2001,PRIVADA,362,316,286,366,55,39
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,INGENIERIA ECONOMICA Y FINANCIERA,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,INGENIERIA FINANCIERA,COCHABAMBA,2001,PRIVADA,1,2,2,2,0,0
CIENCIAS ECONOMICAS FINANCIERAS Y ADMINISTRATIVAS,MARKETING Y PUBLICIDAD,COCHABAMBA,2001,PRIVADA,62,111,20,20,2,9
CIENCIAS SOCIALES,ANTROPOLOGIA,COCHABAMBA,2001,PRIVADA,8,10,34,24,5,1
CIENCIAS SOCIALES,ANTROPOLOGIA,COCHABAMBA,2001,PUBLICA,0,0,0,0,0,0
CIENCIAS SOCIALES,CIENCIAS POLITICAS,COCHABAMBA,2001,PUBLICA,350,164,0,0,0,0
CIENCIAS SOCIALES,DERECHO,COCHABAMBA,2001,PRIVADA,449,360,282,278,57,42
CIENCIAS SOCIALES,DERECHO,COCHABAMBA,2001,PUBLICA,2712,2360,1018,782,125,90
CIENCIAS SOCIALES,RELACIONES INTERNACIONALES,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
CIENCIAS SOCIALES,SOCIOLOGIA,COCHABAMBA,2001,PUBLICA,223,202,82,80,9,12
CIENCIAS SOCIALES,TRABAJO SOCIAL,COCHABAMBA,2001,PRIVADA,0,26,0,26,0,2
CIENCIAS SOCIALES,TRABAJO SOCIAL,COCHABAMBA,2001,PUBLICA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,ADMINISTRACION DE SISTEMAS DE INFORMACION,COCHABAMBA,2001,PRIVADA,11,2,4,0,0,0
INGENIERIA Y TECNOLOGIA,AMBIENTAL,COCHABAMBA,2001,PUBLICA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,BIOINGENIERIA,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,GAS Y PETROLEO,COCHABAMBA,2001,PUBLICA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,GEODESIA Y TOPOGRAFIA,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA AERONAUTICA,COCHABAMBA,2001,PRIVADA,0,0,0,0,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA AMBIENTAL,COCHABAMBA,2001,PRIVADA,50,67,70,86,1,1
INGENIERIA Y TECNOLOGIA,INGENIERIA BIOMEDICA,COCHABAMBA,2001,PRIVADA,8,5,2,6,0,0
INGENIERIA Y TECNOLOGIA,INGENIERIA CIVIL,COCHABAMBA,2001,PRIVADA,256,30,182,44,18,2
INGENIERIA Y TECNOLOGIA,INGENIERIA CIVIL,COCHABAMBA,2001,PUBLICA,1633,250,502,92,54,7
INGENIERIA Y TECNOLOGIA,INGENIERIA DE ALIMENTOS,COCHABAMBA,2001,PUBLICA,91,229,52,108,0,0
